tid,år,månad,SE1,SE2,SE3,SE4
2023M11,2023,11,107.6,109.5,127.7,148.6
2023M12,2023,12,117.5,119.6,128.3,144.8
2024M01,2024,01,106.8,108.7,126.8,145.7
2024M02,2024,02,88.9,90.9,106.3,117.7
2024M03,2024,03,89.7,95.5,107.8,118.6
2024M04,2024,04,88.3,92.3,106.7,117.7
2024M05,2024,05,62.1,65.2,88.9,107.5
2024M06,2024,06,68.1,70.5,88.1,114.3
2024M07,2024,07,65.4,66.5,87.3,100.8
2024M08,2024,08,54.4,56.8,79.2,101.6
2024M09,2024,09,55.6,54.9,81.6,90.8
2024M10,2024,10,62.3,59.2,85.7,90.7
2024M11,2024,11,72.1,63.9,112.6,134.4
2024M12,2024,12,63.9,58.8,109.8,127.5
2025M01,2025,01,69.2,67.2,107,127.3
2025M02,2025,02,58.5,59.5,113.6,146.6
2025M03,2025,03,58.2,56.3,96.2,103.6
2025M04,2025,04,61.5,58.9,87.1,105.6
2025M05,2025,05,60.8,59.2,88.4,105.8
2025M06,2025,06,49.6,50.2,76.4,87.4
2025M07,2025,07,54.5,56.6,84.5,91.7
2025M08,2025,08,69.4,66.5,90.9,114.5
2025M09,2025,09,64.9,60,96.1,116.8
