Ogräsbekämpningsmetod;Skörd kg/ha
6;821,5555556
1;962,1111111
3;305,8888889
5;2808,888889
4;1895,666667
7;215,1111111
2;1108,333333
1;809
4;383,2222222
2;1377
7;1174,666667
3;658,1111111
6;361,1111111
5;1343,888889
7;586,5555556
2;2184,666667
6;258,4444444
4;1230,111111
5;1874,777778
1;931,7777778
3;216,8888889
1;909,1111111
6;48,88888889
2;1323,111111
4;844,3333333
5;2248,444444
7;925,1111111
3;140,5555556
